borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
4,08 RENTALS - ELEVATOR APARTMENTS,53100,8500000,2024-12-06,ElevatorApt
2,03 THREE FAMILY DWELLINGS,2754,660000,2025-06-16,ThreeFamily
3,01 ONE FAMILY DWELLINGS,1244,1211718,2025-07-03,OneFamily
3,01 ONE FAMILY DWELLINGS,1234,2350000,2025-06-27,OneFamily
5,01 ONE FAMILY DWELLINGS,1144,490000,2025-03-10,OneFamily
3,02 TWO FAMILY DWELLINGS,2160,3650000,2025-08-07,TwoFamily
4,02 TWO FAMILY DWELLINGS,1280,950000,2025-06-11,TwoFamily
4,02 TWO FAMILY DWELLINGS,1224,985000,2025-06-24,TwoFamily
5,01 ONE FAMILY DWELLINGS,1250,560000,2025-06-02,OneFamily
1,01 ONE FAMILY DWELLINGS,2720,8000000,2025-03-10,OneFamily
1,01 ONE FAMILY DWELLINGS,3068,6150000,2024-11-22,OneFamily
1,08 RENTALS - ELEVATOR APARTMENTS,100142,623731,2025-06-05,ElevatorApt
1,08 RENTALS - ELEVATOR APARTMENTS,100142,813551,2025-06-17,ElevatorApt
4,02 TWO FAMILY DWELLINGS,2262,1159118,2025-02-14,TwoFamily
4,02 TWO FAMILY DWELLINGS,2262,1170000,2025-02-27,TwoFamily
4,02 TWO FAMILY DWELLINGS,2262,1155000,2025-03-14,TwoFamily
1,14 RENTALS - 4-10 UNIT,3655,5700000,2024-12-19,Other
4,01 ONE FAMILY DWELLINGS,5000,2900000,2025-05-14,OneFamily
1,02 TWO FAMILY DWELLINGS,1992,3800000,2025-04-22,TwoFamily
2,01 ONE FAMILY DWELLINGS,1950,975000,2025-01-27,OneFamily
1,14 RENTALS - 4-10 UNIT,5058,4700000,2025-07-07,Other
2,01 ONE FAMILY DWELLINGS,1392,1350000,2025-05-06,OneFamily
2,01 ONE FAMILY DWELLINGS,1533,689000,2025-10-14,OneFamily
3,01 ONE FAMILY DWELLINGS,1440,800000,2025-03-10,OneFamily
